Title,Minister,
,Afghanistan,Afghanistan
,Last Updated:  11 Jan 2019,Last Updated:  11 Jan 2019
Pres.,Ashraf GHANI,#NAME?
CEO,"Abdullah ABDULLAH, Dr.",#NAME?
First Vice Pres.,Abdul Rashid DOSTAM,#NAME?
Second Vice Pres.,Sarwar DANESH,#NAME?
First Deputy CEO,Khyal Mohammad KHAN,#NAME?
Second Deputy CEO,Mohammad MOHAQQEQ,#NAME?
"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI,#NAME?
Min. of Border & Tribal Affairs,Gul Agha SHERZAI,#NAME?
Min. of Commerce & Industry,Homayoun RASA,#NAME?
Min. of Counternarcotics,Salamat AZIMI,#NAME?
Min. of Defense,Asadullah KHALID,#NAME?
Min. of Economy,Mohammad Mustafa MASTOOR,#NAME?
Min. of Education,Mohammad Ibrahim SHINWARI,#NAME?
Min. of Energy & Water,Ali Ahmad OSMANI,#NAME?
Min. of Finance,Eklil Ahmad HAKIMI,#NAME?
Min. of Foreign Affairs,Salahuddin RABBANI,#NAME?
Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI,#NAME?
Min. of Higher Education,Najibullah Khwaja OMARI,#NAME?
Min. of Information & Culture,Mohammad Rasul BAWARI,#NAME?
Min. of Interior,Amrullah SALEH,#NAME?
Min. of Justice,Abdul Basir ANWAR,#NAME?
"Min. of Martyred, Disabled, Labor, & Social Affairs",Faizullah ZAKI,#NAME?
Min. of Mines & Petroleum,,#NAME?
Min. of Parliamentary Affairs,Faruq WARDAK,#NAME?
Min. of Public Health,Ferozuddin FEROZ,#NAME?
Min. of Public Works,Yama YARI,#NAME?
Min. of Refugees & Repatriation,Sayed Hussain Alemi BALKHI,#NAME?
Min. of Rural Rehabilitation & Development,Mujib Rahman KARIMI,#NAME?
Min. of Telecommunication & Information Technology,Shahzad Gul ARYUBI,#NAME?
Min. of Tourism,Ghulam Nabi FARAHI,#NAME?
Min. of Transportation & Civil Aviation,Mohammad Hamid TAHMASI,#NAME?
Min. of Urban Development,Sayed Sadat NADERI,#NAME?
Min. of Women's Affairs,Dilbar NAZARI,#NAME?
Attorney General,Mohammad Farid HAMIDI,#NAME?
National Security Adviser,Mohammad Hanif ATMAR,#NAME?
"Dir. Gen., National Directorate of Security",Mohammad Masoom STANEKZAI,#NAME?
"Dir. Gen., Independent Directorate for Local Governance",Abdul Matin BEK,#NAME?
"Governor, Da Afghanistan Bank",Khalilullah SEDIQ,#NAME?
Ambassador to the US,Hamdullah MOHIB,#NAME?
"Permanent Representative to the UN, New York",Mahmood SAIKAL,#NAME?
,Albania,Albania
,Last Updated:  21 Nov 2017,Last Updated:  21 Nov 2017
Pres.,Ilir META,#NAME?
Prime Min.,Edi RAMA,#NAME?
Dep. Prime Min.,Senida MESI,#NAME?
Min. of Agriculture & Rural Development,Niko PELESHI,#NAME?
Min. of Culture,Mirela KUMBARO,#NAME?
Min. of Defense,Olta XHACKA,#NAME?
Min. of Diaspora,Pandeli MAJKO,#NAME?
Min. of Economy,Milva EKONOMI,#NAME?
"Min. of Education, Sports, & Youth",Lindita NIKOLLA,#NAME?
Min. of Environment,Lefter KOKA,#NAME?
Min. for Europe & Foreign Affairs,Ditmir BUSHATI,#NAME?
Min. of Finance & Economy,Arben AHMETAJ,#NAME?
Min. of Health & Social Welfare,Orgerta MANASTIRLIU,#NAME?
Min. of Infrastructure & Energy,Damian GJIKNURI,#NAME?
Min. of Innovation & Public Admin.,Milena HARITO,#NAME?
Min. of Integration,Klajda GJOSHA,#NAME?
Min. of Interior,Fatmir XHAFAJ,#NAME?
Min. of Justice,Etilda GJONAJT,#NAME?
Min. of Local Govt. Affairs,Bled CUCI,#NAME?
Min. of Protection of Entrepreneurs,Sonila QATO,#NAME?
Min. of Relations With Parliament,Ermonela FELAJ,#NAME?
Min. of Tourism & Environment,Blendi KLOSI,#NAME?
Min. of Transport & Infrastructure,Edmond HAXHINASTO,#NAME?
Min. of Urban Development,Eglantina GJERMENI,#NAME?
Min. of Youth & Social Welfare,Blendi KLOSI,#NAME?
"Governor, Bank of Albania",Gent SEJKO,#NAME?
Ambassador to the US,Floreta FABER,#NAME?
"Permanent Representative to the UN, New York",Besiana KADARE,#NAME?
,Algeria,Algeria
,Last Updated:  9 Apr 2018,Last Updated:  9 Apr 2018
Pres.,Abdelaziz BOUTEFLIKA,#NAME?
Prime Min.,Ahmed OUYAHIA,#NAME?
"Min. of Agriculture, Rural Development, & Fisheries",Abdelkader BOUAZGUI,#NAME?
Min. of Commerce,Said DJELLAB,#NAME?
Min. of Communication,Djamel KAOUANE,#NAME?
Min. of Culture,Azzedine MIHOUBI,#NAME?
Min. of Energy,Mustapha GUITOUNI,#NAME?
Min. of Environment & Renewable Energies,Fatma Zohra ZEROUATI,#NAME?
Min. of Finance,Abderrahmane RAOUIA,#NAME?
Min. of Foreign Affairs & International Cooperation,Abdelkader MESSAHEL,#NAME?
